iter	Passed	Remaining
400	26506	6543
401	26566	6476
402	26625	6408
403	26684	6340
404	26748	6274
405	26809	6207
406	26871	6140
407	26929	6072
408	26986	6004
409	27044	5936
410	27105	5869
411	27164	5802
412	27229	5736
413	27293	5669
414	27354	5602
415	27416	5535
416	27479	5469
417	27541	5402
418	27600	5335
419	27663	5269
420	27727	5203
421	27785	5135
422	27848	5069
423	27907	5002
424	27964	4934
425	28023	4867
426	28082	4800
427	28145	4734
428	28210	4668
429	28272	4602
430	28331	4535
431	28394	4469
432	28456	4403
433	28514	4336
434	28574	4269
435	28634	4203
436	28697	4137
437	28757	4070
438	28824	4005
439	28886	3939
440	28942	3872
441	28999	3805
442	29058	3738
443	29124	3673
444	29191	3607
445	29253	3541
446	29311	3475
447	29373	3409
448	29434	3343
449	29494	3277
450	29554	3211
451	29620	3145
452	29688	3080
453	29747	3014
454	29806	2947
455	29877	2882
456	29937	2816
457	29993	2750
458	30048	2684
459	30105	2617
460	30172	2552
461	30236	2486
462	30298	2421
463	30361	2355
464	30424	2290
465	30482	2224
466	30544	2158
467	30607	2092
468	30668	2027
469	30729	1961
470	30786	1895
471	30853	1830
472	30915	1764
473	30974	1698
474	31031	1633
475	31096	1567
476	31163	1502
477	31226	1437
478	31285	1371
479	31349	1306
480	31411	1240
481	31469	1175
482	31531	1109
483	31595	1044
484	31660	979
485	31719	913
486	31783	848
487	31856	783
488	31920	718
489	31977	652
490	32032	587
491	32087	521
492	32146	456
493	32205	391
494	32263	325
495	32326	260
496	32390	195
497	32449	130
498	32510	65
499	32575	0
